,antecedants,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
153,frozenset({'Misc                          '}),frozenset({'Internation Sourcing Japan    '}),0.009541117673784643,0.006128842950174163,0.0002981599273057701,0.03125,5.098841698841699,0.00023968391551401296,1.025931516954659
154,frozenset({'Internation Sourcing Japan    '}),frozenset({'Potato                        '}),0.006128842950174163,0.01080474784189005,0.00044960623958806604,0.07335907335907337,6.789522016854474,0.0003833856369488887,1.0675065429539603
155,frozenset({'Potato                        '}),frozenset({'Internation Sourcing Japan    '}),0.01080474784189005,0.006128842950174163,0.00044960623958806604,0.04161191414805081,6.789522016854474,0.0003833856369488887,1.0370236981465961
156,frozenset({'Japan                         '}),frozenset({'Potato                        '}),0.004822618506739361,0.01080474784189005,0.00023190216568226563,0.04808635917566241,4.450484164862358,0.0001797949887793145,1.0391649092258908
157,frozenset({'Potato                        '}),frozenset({'Japan                         '}),0.01080474784189005,0.004822618506739361,0.00023190216568226563,0.021462987297415678,4.450484164862358,0.0001797949887793145,1.0170053544982605
158,frozenset({'SAINT HONORE                  '}),frozenset({'Juice                         '}),0.006256625776162351,0.0018646827199757686,0.00031235801908223535,0.049924357034795766,26.773647066051286,0.00030069139711207045,1.0505851030606626
159,frozenset({'Juice                         '}),frozenset({'SAINT HONORE                  '}),0.0018646827199757686,0.006256625776162351,0.00031235801908223535,0.16751269035532995,26.773647066051282,0.00030069139711207045,1.1937039312322928
160,"frozenset({""King's                        ""})",frozenset({'Nestle                        '}),0.0027449644101166138,0.016403528699076176,0.00029342723004694836,0.10689655172413794,6.516680263445889,0.0002484001275676578,1.1013242342751657
161,frozenset({'Nestle                        '}),"frozenset({""King's                        ""})",0.016403528699076176,0.0027449644101166138,0.00029342723004694836,0.01788805539526832,6.516680263445888,0.0002484001275676578,1.015418905215786
162,frozenset({'Kowloon Dairy                 '}),frozenset({'Nestle                        '}),0.004619112524610025,0.016403528699076176,0.0007666969559291232,0.16598360655737707,10.118774417526701,0.0006909272110674204,1.1793490859824345
163,frozenset({'Nestle                        '}),frozenset({'Kowloon Dairy                 '}),0.016403528699076176,0.004619112524610025,0.0007666969559291232,0.046739757645701104,10.118774417526701,0.0006909272110674204,1.0441858825634691
